;PPIND;FICE;STATE;TYPE;AVRMATH;AVRVERB;AVRCOMB;AVR_ACT;MATH_1;MATH_3;VERB_1;VERB_3;ACT_1;ACT_3;APP_REC;APP_ACC;NEW_STUD;NEW10;NEW25;FULLTIME;PARTTIME;IN_STATE;OUT_STAT;R_B_COST;ROOM;BOARD;ADD_FEE;BOOK;PERSONAL;PH_D;TERM_D;SF_RATIO;DONATE;INSTRUCT;GRADUAT;SAL_FULL;SAL_AC;SAL_AS;SAL_ALL;COMP_FUL;COMP_AC;COMP_AS;COMP_ALL;NUM_FULL;NUM_AC;NUM_AS;NUM_INS;NUM_ALL
Texas Tech Universit;1;3644;TX;I;526,000;456,000;982,000;23,000;460,000;590,000;400,000;510,000;20,000;25,000;6334,000;5051,000;2957,000;25,000;58,000;16785,000;2780,000;780,000;4860,000;3688,000;3688,000;;838,000;530,000;;82,000;92,000;24,700;24,000;5449,000;41,000;610,000;429,000;363,000;468,000;762,000;550,000;472,000;595,000;270,000;216,000;220,000;14,000;742
Texas Woman's Univer;1;3646;TX;I;;;;;350,000;480,000;320,000;440,000;16,000;21,000;989,000;777,000;474,000;;;3791,000;1961,000;647,000;2279,000;2942,000;1502,000;1440,000;140,000;700,000;1200,000;67,000;70,000;14,300;6,000;6637,000;35,000;499,000;401,000;342,000;396,000;623,000;507,000;438,000;501,000;93,000;107,000;101,000;40,000;353
University of Housto;1;3652;TX;I;537,000;447,000;984,000;22,000;;;;;;;6233,000;3990,000;2150,000;32,000;65,000;15340,000;9355,000;672,000;4104,000;3980,000;;;690,000;600,000;;;;14,600;13,000;6895,000;32,000;681,000;462,000;398,000;520,000;836,000;585,000;510,000;651,000;341,000;288,000;238,000;24,000;903
University of Texas ;1;3656;TX;I;506,000;434,000;940,000;21,000;450,000;580,000;385,000;520,000;19,000;24,000;3281,000;2559,000;1448,000;19,000;43,000;10975,000;8431,000;1206,000;4422,000;2780,000;1440,000;1340,000;;500,000;2850,000;73,000;73,000;21,000;4,000;4696,000;29,000;581,000;438,000;395,000;455,000;724,000;557,000;506,000;577,000;185,000;224,000;137,000;0,000;608
University of Texas ;1;3658;TX;I;603,000;523,000;1126,000;25,000;546,000;670,000;466,000;588,000;23,000;28,000;14752,000;9572,000;5329,000;48,000;85,000;30017,000;5189,000;840,000;5130,000;3309,000;1733,000;1576,000;1068,000;650,000;3140,000;91,000;99,000;19,700;11,000;7837,000;65,000;732,000;476,000;432,000;577,000;888,000;599,000;548,000;713,000;997,000;439,000;480,000;30,000;2099
Brigham Young Univer;2;3670;UT;I;;;;;;;;;24,000;29,000;7365,000;5402,000;4615,000;48,000;82,000;27378,000;1253,000;2340,000;2340,000;3580,000;2112,000;1468,000;;860,000;1220,000;76,000;76,000;20,500;40,000;7916,000;33,000;661,000;504,000;431,000;543,000;851,000;668,000;577,000;711,000;577,000;382,000;304,000;49,000;1372
University of Utah  ;1;3675;UT;I;543,000;484,000;1027,000;24,000;450,000;620,000;410,000;550,000;21,000;26,000;5095,000;4491,000;2400,000;27,000;53,000;13894,000;8374,000;1954,000;6857,000;3975,000;1550,000;2425,000;427,000;858,000;3093,000;89,000;93,000;12,800;9,000;9275,000;37,000;615,000;432,000;383,000;498,000;792,000;574,000;514,000;652,000;388,000;231,000;216,000;25,000;860
Utah State Universit;1;3677;UT;I;520,000;480,000;1000,000;22,000;390,000;560,000;400,000;500,000;19,000;26,000;4281,000;3825,000;2426,000;26,000;53,000;10657,000;4257,000;1650,000;5775,000;3315,000;1335,000;1980,000;363,000;700,000;1460,000;83,000;93,000;18,700;10,000;7462,000;;518,000;403,000;364,000;420,000;688,000;546,000;497,000;567,000;199,000;165,000;158,000;20,000;583
University of Vermon;1;3696;VT;I;553,000;488,000;1041,000;;500,000;610,000;440,000;540,000;;;7663,000;6008,000;1735,000;18,000;51,000;7353,000;1674,000;6210,000;15516,000;4928,000;3148,000;1780,000;442,000;500,000;990,000;87,000;90,000;9,900;10,000;12646,000;79,000;606,000;450,000;370,000;458,000;770,000;586,000;486,000;592,000;175,000;174,000;115,000;0,000;555
College of William a;1;3705;VA;I;640,000;600,000;1240,000;;590,000;700,000;540,000;650,000;;;7117,000;3106,000;1217,000;68,000;88,000;5186,000;134,000;2808,000;11720,000;4298,000;2318,000;1980,000;1748,000;600,000;800,000;89,000;92,000;12,100;31,000;9534,000;93,000;679,000;499,000;382,000;525,000;827,000;621,000;484,000;650,000;185,000;132,000;123,000;30,000;470
Old Dominion Univers;1;3728;VA;I;494,000;440,000;934,000;;430,000;550,000;390,000;490,000;;;4569,000;3110,000;1251,000;18,000;39,000;8346,000;2501,000;3854,000;9464,000;4540,000;;;74,000;600,000;;79,000;86,000;15,100;17,000;6727,000;45,000;595,000;451,000;370,000;446,000;731,000;564,000;468,000;557,000;165,000;228,000;156,000;52,000;643
Virginia Commonwealt;1;3735;VA;I;488,000;449,000;937,000;;420,000;550,000;390,000;510,000;;;4963,000;3497,000;1567,000;18,000;45,000;10262,000;5065,000;3034,000;10217,000;4182,000;1620,000;2562,000;880,000;500,000;3630,000;81,000;87,000;8,700;11,000;11183,000;45,000;610,000;492,000;404,000;491,000;753,000;611,000;501,000;609,000;220,000;310,000;211,000;43,000;784
George Mason Univers;1;3749;VA;I;;;;;470,000;570,000;420,000;520,000;;;5653,000;4326,000;1727,000;17,000;29,000;9528,000;3822,000;4044,000;10800,000;4840,000;3150,000;1690,000;25,000;580,000;1050,000;93,000;96,000;19,300;7,000;6751,000;46,000;753,000;524,000;445,000;568,000;909,000;650,000;550,000;696,000;210,000;266,000;156,000;43,000;675
Virginia Tech       ;1;3754;VA;I;;;;;529,000;640,000;440,000;550,000;;;15712,000;11719,000;4277,000;29,000;53,000;18511,000;604,000;3926,000;10260,000;3176,000;;;;740,000;2200,000;85,000;89,000;13,800;20,000;8944,000;73,000;655,000;467,000;404,000;519,000;802,000;582,000;506,000;641,000;598,000;526,000;270,000;91,000;1485
University of Washin;1;3798;WA;I;;;;;500,000;640,000;420,000;550,000;22,000;27,000;12749,000;7025,000;3343,000;40,000;81,000;20356,000;4582,000;2907,000;8199,000;4218,000;;;;708,000;2172,000;96,000;94,000;9,000;10,000;16527,000;65,000;683,000;485,000;421,000;555,000;838,000;606,000;524,000;687,000;893,000;472,000;352,000;11,000;1906
Washington State Uni;1;3800;WA;I;;;;;430,000;560,000;370,000;480,000;;;6540,000;5839,000;2440,000;31,000;70,000;14445,000;1344,000;2907,000;8200,000;4210,000;3910,000;;160,000;800,000;2719,000;84,000;87,000;16,900;30,000;10912,000;56,000;597,000;447,000;393,000;470,000;734,000;559,000;488,000;584,000;337,000;281,000;279,000;62,000;965
West Virginia Univer;1;3827;WV;I;507,000;439,000;946,000;22,000;450,000;560,000;380,000;490,000;20,000;24,000;9630,000;7801,000;2881,000;23,000;49,000;14524,000;1053,000;2128,000;6370,000;4310,000;2284,000;2026,000;;;;83,000;86,000;13,400;;8318,000;57,000;535,000;431,000;361,000;439,000;642,000;521,000;438,000;529,000;335,000;237,000;272,000;22,000;895
Marquette University;2;3863;WI;I;561,000;492,000;1053,000;25,000;500,000;630,000;440,000;540,000;23,000;28,000;5152,000;4600,000;1685,000;36,000;71,000;7016,000;804,000;11610,000;11610,000;4760,000;;4760,000;150,000;600,000;1950,000;86,000;94,000;13,500;25,000;9982,000;77,000;705,000;521,000;426,000;527,000;884,000;662,000;525,000;662,000;94,000;238,000;151,000;0,000;483
University of Wiscon;1;3895;WI;I;;;;;510,000;660,000;430,000;570,000;23,000;28,000;14901,000;10932,000;4631,000;36,000;80,000;23945,000;2200,000;2737,000;9096,000;4290,000;2050,000;2240,000;;535,000;1545,000;93,000;96,000;11,500;20,000;11006,000;72,000;666,000;498,000;439,000;573,000;831,000;628,000;566,000;721,000;918,000;287,000;360,000;30,000;1641
University of Wiscon;1;3896;WI;I;;;;22,000;;;;;21,000;25,000;5244,000;3782,000;1930,000;12,000;37,000;11561,000;7443,000;2771,000;8786,000;2964,000;1964,000;1000,000;;570,000;1980,000;79,000;87,000;15,900;8,000;8094,000;38,000;604,000;465,000;421,000;495,000;761,000;598,000;544,000;632,000;267,000;306,000;192,000;2,000;797
University of Minnes;1;3969;MN;I;568,000;484,000;1052,000;23,000;500,000;650,000;420,000;550,000;20,000;26,000;11054,000;6397,000;3524,000;26,000;55,000;16502,000;21836,000;3171,000;8949,000;3744,000;1498,000;2246,000;414,000;714,000;2910,000;88,000;90,000;12,200;37,000;16122,000;45,000;662,000;468,000;418,000;557,000;842,000;613,000;552,000;719,000;785,000;468,000;271,000;12,000;1538
Ohio State Universit;1;6883;OH;I;;;;;450,000;610,000;400,000;530,000;20,000;26,000;15076,000;12860,000;5330,000;24,000;52,000;31039,000;6005,000;3087,000;9315,000;4484,000;;;;525,000;2550,000;;95,000;13,100;17,000;10900,000;56,000;703,000;491,000;415,000;555,000;846,000;603,000;516,000;676,000;758,000;679,000;443,000;30,000;1910
Rutgers at New Bruns;1;6964;NJ;I;594,000;513,000;1107,000;;530,000;660,000;460,000;570,000;;;48094,000;26330,000;4520,000;36,000;79,000;21401,000;3712,000;3640,000;7410,000;4748,000;2780,000;1986,000;1003,000;690,000;2009,000;90,000;95,000;19,500;19,000;10474,000;77,000;846,000;611,000;478,000;665,000;1045,000;780,000;624,000;838,000;601,000;393,000;258,000;90,000;1374
Pennsylvania State U;1;6965;PA;I;583,000;500,000;1083,000;;530,000;651,000;450,000;560,000;;;19315,000;10344,000;3450,000;48,000;93,000;28938,000;2025,000;4966,000;10645,000;4060,000;1840,000;2220,000;70,000;512,000;2394,000;77,000;96,000;18,100;19,000;8992,000;63,000;721,000;509,000;417,000;522,000;887,000;642,000;525,000;652,000;622,000;449,000;427,000;160,000;1799
Baylor University   ;2;6967;TX;I;;;;;500,000;620,000;430,000;540,000;21,000;25,000;6075,000;5349,000;2367,000;34,000;66,000;9919,000;484,000;6450,000;6450,000;3920,000;2230,000;1690,000;570,000;600,000;1346,000;71,000;76,000;18,500;38,000;7503,000;72,000;619,000;474,000;397,000;476,000;791,000;610,000;504,000;607,000;226,000;131,000;103,000;7,000;601
University of Virgin;1;6968;VA;I;;;;;590,000;710,000;520,000;630,000;;;15849,000;5384,000;2678,000;74,000;95,000;11278,000;114,000;3724,000;12212,000;3792,000;1816,000;1976,000;756,000;500,000;1000,000;90,000;92,000;9,500;22,000;13597,000;95,000;777,000;517,000;430,000;610,000;953,000;653,000;545,000;757,000;445,000;277,000;201,000;18,000;973
Miami University at ;1;7104;OH;I;;;;;540,000;640,000;470,000;560,000;23,000;27,000;9239,000;7788,000;3290,000;35,000;39,000;13606,000;807,000;3740,000;8856,000;3960,000;1860,000;2100,000;798,000;500,000;1382,000;81,000;89,000;17,600;20,000;7846,000;85,000;616,000;474,000;376,000;478,000;797,000;614,000;487,000;619,000;258,000;225,000;219,000;60,000;763
University of Michig;1;9092;MI;I;634,000;543,000;1177,000;27,000;580,000;700,000;490,000;600,000;25,000;30,000;19152,000;12940,000;4893,000;66,000;92,000;22045,000;1339,000;5040,000;15732,000;4659,000;;;175,000;476,000;1600,000;90,000;98,000;11,500;26,000;14847,000;87,000;777,000;577,000;460,000;605,000;955,000;731,000;595,000;760,000;850,000;419,000;472,000;9,000;1968
SUNY at Buffalo     ;1;9554;NY;I;572,000;480,000;1052,000;;550,000;650,000;450,000;550,000;;;15039,000;9649,000;3087,000;36,000;;13963,000;3124,000;2650,000;6550,000;4731,000;4731,000;;424,000;708,000;957,000;90,000;97,000;13,600;15,000;11177,000;56,000;762,000;548,000;423,000;601,000;970,000;704,000;534,000;767,000;400,000;338,000;218,000;9,000;982
Indiana State Univer;1;9563;IN;I;434,000;391,000;825,000;20,000;360,000;500,000;330,000;450,000;17,000;22,000;5659,000;4761,000;3147,000;10,000;31,000;8596,000;1949,000;2802,000;6892,000;3706,000;;;;600,000;2500,000;72,000;76,000;16,600;8,000;6996,000;40,000;500,000;394,000;343,000;423,000;647,000;513,000;438,000;545,000;248,000;133,000;151,000;16,000;548
University of Texas ;1;9741;TX;I;632,000;556,000;1188,000;27,000;580,000;690,000;480,000;640,000;24,000;30,000;1089,000;780,000;410,000;46,000;79,000;2106,000;2919,000;784,000;4536,000;4953,000;;;724,000;645,000;2979,000;91,000;96,000;20,800;;9094,000;;661,000;505,000;451,000;557,000;810,000;634,000;571,000;692,000;89,000;58,000;59,000;1,000;207
University of South ;1;10300;SD;I;;;;22,000;;;;;;;2160,000;2031,000;1268,000;15,000;39,000;5368,000;1066,000;1454,000;3811,000;2620,000;1208,000;1412,000;1125,000;675,000;1118,000;71,000;79,000;14,600;28,000;6456,000;;480,000;364,000;340,000;362,000;570,000;438,000;410,000;436,000;88,000;75,000;134,000;55,000;352
Univ. of New Mexico-;1;10313;NM;I;;;;22,000;430,000;580,000;390,000;530,000;19,000;24,000;3871,000;3349,000;1891,000;27,000;53,000;12257,000;5264,000;1884,000;7115,000;3516,000;;;420,000;584,000;500,000;91,000;88,000;14,300;;8209,000;34,000;579,000;431,000;379,000;466,000;693,000;521,000;459,000;561,000;314,000;268,000;195,000;0,000;837
Texas A&M Univ. at C;1;10366;TX;I;578,000;491,000;1069,000;25,000;510,000;640,000;430,000;550,000;22,000;27,000;14474,000;10519,000;6392,000;49,000;85,000;31643,000;2798,000;840,000;5130,000;3412,000;1772,000;1640,000;751,000;600,000;2144,000;89,000;91,000;23,100;29,000;8471,000;69,000;645,000;460,000;394,000;505,000;798,000;587,000;509,000;637,000;652,000;424,000;305,000;2,000;1546
